epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.186,1.10839,3.53466,1.58058,0.63196,0.1839,0.17744,0.11175,0.80735,37.8816,1.15016,7.09702e-05,7.09702e-05,7.09702e-05
2,1381.89,1.05713,2.38134,1.52769,0.48177,0.2078,0.2063,0.13638,0.78194,18.578,1.12516,0.0001326,0.0001326,0.0001326
3,2054.46,1.04446,2.05156,1.50058,0.54928,0.21972,0.23696,0.15344,0.8124,11.6488,1.09698,0.000184858,0.000184858,0.000184858
4,2741.65,1.01811,1.85698,1.47781,0.58635,0.22826,0.25076,0.16609,0.7822,8.71275,1.07348,0.000170826,0.000170826,0.000170826
5,3443.24,1.00835,1.71122,1.45616,0.60847,0.26714,0.27293,0.18656,0.76064,6.40285,1.03385,0.000156768,0.000156768,0.000156768
6,4182.59,1.00797,1.62407,1.57723,0.63312,0.27927,0.29116,0.20384,0.76124,5.50199,1.04535,0.00014271,0.00014271,0.00014271
7,4860.87,0.97453,1.44039,1.54644,0.68127,0.29841,0.31223,0.22275,0.75545,4.79401,1.02044,0.000128652,0.000128652,0.000128652
8,5540.24,0.95035,1.33088,1.52196,0.65315,0.27103,0.29593,0.21354,0.74141,3.67747,1.00247,0.000114594,0.000114594,0.000114594
9,6219.59,0.93768,1.24545,1.50745,0.68147,0.29146,0.32616,0.24014,0.71596,3.34541,0.98342,0.000100536,0.000100536,0.000100536
10,6899.29,0.91777,1.16445,1.48283,0.66415,0.29953,0.33013,0.23779,0.7312,3.9916,0.99035,8.6478e-05,8.6478e-05,8.6478e-05
11,7579.17,0.89577,1.10436,1.46334,0.67482,0.31102,0.35535,0.26153,0.7225,3.34487,0.98014,7.242e-05,7.242e-05,7.242e-05
12,8257.9,0.87935,1.04633,1.4491,0.65939,0.31869,0.34917,0.25535,0.71723,3.45157,0.97387,5.8362e-05,5.8362e-05,5.8362e-05
13,8937.99,0.86248,1.00892,1.43065,0.69487,0.30449,0.35323,0.26071,0.70998,2.92841,0.95467,4.4304e-05,4.4304e-05,4.4304e-05
14,9617.11,0.85286,0.95284,1.42082,0.68702,0.30652,0.35969,0.26875,0.70865,2.77795,0.96414,3.0246e-05,3.0246e-05,3.0246e-05
15,10297.4,0.84497,0.9333,1.40803,0.67739,0.31394,0.3736,0.27309,0.70793,2.79322,0.96301,1.6188e-05,1.6188e-05,1.6188e-05
